id,make,model,year,color,vin
1,Toyota,Celica,1998,Red,WAUDK78T88A379481
2,Mercedes-Benz,M-Class,2005,Green,WA1YD64B92N278983
3,Mitsubishi,Pajero,1986,Aquamarine,1G6AB5SX0D0433512
4,Chevrolet,G-Series 1500,1998,Fuscia,4USBU53568L239719
5,Hyundai,Accent,1998,Crimson,WP0AA2A80CU507186
6,Toyota,Celica,1983,Goldenrod,2C3CDXBG3DH747893
7,Mitsubishi,3000GT,1995,Indigo,19UUA9F23DA877904
8,Subaru,Forester,2006,Green,3VW1K7AJXDM086545
9,GMC,Suburban 2500,1996,Maroon,3FADP4AJ6EM830472
10,Volvo,XC70,2007,Crimson,1FMJK1H53CE875822
11,Ford,Explorer Sport,2002,Turquoise,2T1BU4EE9DC564962
12,Honda,Insight,2005,Goldenrod,SALGR2VF6EA362843
13,Chevrolet,Corvette,1958,Yellow,19UUA9F79CA020447
14,Chevrolet,2500,1993,Aquamarine,WBA3N3C50FK884023
15,Mercury,Grand Marquis,1985,Orange,WAUAF98E95A142482
16,Chevrolet,3500,1997,Maroon,JN8CS1MU7FM524603
17,Volvo,850,1996,Khaki,WAUHE78P68A617601
18,GMC,1500,1995,Khaki,3GYFNBEYXBS407299
19,Jeep,Wrangler,2012,Green,1GYS4AEF8ER785879
20,Chevrolet,Silverado,2003,Yellow,3MZBM1U73EM506191
21,Chevrolet,1500,1993,Maroon,WBA3B3C55DF169429
22,Toyota,Supra,1994,Mauv,1C3CDFEB4ED745739
23,Volkswagen,Golf III,1993,Goldenrod,1GYS3FEJXCR111833
24,Pontiac,Firebird Formula,1999,Red,19UUA9F77CA834886
25,Chevrolet,G-Series G30,1992,Teal,WBA5A5C51ED749054
26,Cadillac,STS-V,2009,Turquoise,WAUKH68DX1A495618
27,Acura,NSX,2002,Fuscia,1G6DP57V390249095
28,Land Rover,Defender 90,1995,Yellow,WAUDFAFL8CN291987
29,Nissan,Sentra,2012,Fuscia,2C3CDXEJ1FH572067
30,Acura,Integra,1995,Teal,WAUED54BX1N878510
31,Ford,E150,2005,Blue,WAU3FAFR5AA771456
32,Oldsmobile,Aurora,1998,Crimson,1GD220CG5CZ553203
33,Isuzu,Oasis,1998,Crimson,5GAEV23788J446626
34,Kia,Sportage,2011,Yellow,WAULF78KX9N123084
35,Volkswagen,Touareg,2005,Yellow,1N6AA0EC3DN978261
36,Lincoln,Navigator,2008,Orange,3D7JB1EP0BG550720
37,Volkswagen,GTI,2005,Blue,SALAG2D47BA917614
38,Mazda,Protege5,2003,Goldenrod,WA1KK98R19A846472
39,Saturn,VUE,2005,Teal,3GYFNDEYXBS640725
40,Mercury,Villager,1998,Pink, null
41,GMC,Vandura 2500,1994,Yellow,5YMGZ0C50AL620236
42,Dodge,Ram,2011,Green,3D7TP2CT7AG999925
43,Mercury,Grand Marquis,1990,Maroon,1GYS4LKJ0FR453876
44,Saab,9-5,1999,Crimson,2FMHK6CT7AB789987
45,Pontiac,Sunbird,1986,Indigo,WAUAH94F17N417606
46,Toyota,Solara,2006,Maroon,3D7TT2CT5AG043693
47,Maybach,Landaulet,2011,Purple,3GYFNBEY9AS539565
48,Pontiac,G8,2008,Mauv,1N4AL2AP8AC697913
